F_fuel,F_air,O2,CO,NO,NOx,CO2,SO2
0.2,1.7840000000000014,11.192942333458326,958.1729808001073,187.324358896768,188.52374085515908,7.241927445036854,656.0026344673006
0.21600000000000003,1.7840000000000014,11.192942333458326,958.1729808001073,187.324358896768,188.52374085515908,7.241927445036854,656.0026344673006
0.23200000000000004,1.7840000000000014,11.192942333458326,958.1729808001073,187.324358896768,188.52374085515908,7.241927445036854,656.0026344673006
0.24800000000000005,1.7840000000000014,11.192942333458326,958.1729808001073,187.33183245016733,188.52424521609134,7.241927445036854,656.0026344673006
0.26400000000000007,1.7840000000000014,11.177438774768165,957.9513401313911,187.3458100639623,188.53191456687205,7.241966715219164,656.5269369351766
0.2800000000000001,1.7840000000000014,11.17165646267285,954.1801950391864,187.674141436662,188.86785189699185,7.242036474713057,656.9951399366471
0.2960000000000001,1.7840000000000014,11.148375618123291,948.8143250107164,188.35815668793327,189.54773496899725,7.285852487507352,658.587539452398
0.3120000000000001,1.7840000000000014,11.10206152832222,938.9389026092308,189.30827491282344,190.48916009948124,7.33103981086089,661.2613496931654
0.3280000000000001,1.7840000000000014,11.049073457996073,928.3371968020415,190.33153317887206,191.50924970186452,7.377508539605145,664.0256235340619
0.34400000000000014,1.7840000000000014,10.994444942064623,917.5007026059957,191.41258578482444,192.59553108169462,7.4252766428246595,666.5763435350628
0.36000000000000015,1.7840000000000014,10.938147070794592,906.7566803035602,192.60707461022685,193.78498089703635,7.474360794891776,669.1493760131741
0.37600000000000017,1.7840000000000014,10.880152442455715,896.2002815869141,193.70321852617894,194.8794712893482,7.530492095176227,671.7952845460343
0.3920000000000002,1.7840000000000014,10.823419948753454,885.456371232699,195.01837356436226,196.18789650971996,7.587445580609717,674.514834217317
0.4080000000000002,1.7840000000000014,10.768243067229417,874.5315258314622,196.3720397563062,197.5341878805516,7.642469933464554,677.3804669269593
0.4240000000000002,1.7840000000000014,10.709326876624013,862.8752462899934,197.68455395007055,198.83065858725325,7.69895365081628,680.60180795389
0.4400000000000002,1.7840000000000014,10.6467085482324,850.5036725981618,198.9053961492291,200.04539856254144,7.756905331520233,683.774930035903
0.45600000000000024,1.7840000000000014,10.582411955008897,838.6595981839987,200.15529428225216,201.28876074346817,7.816331042093452,686.9094449140675
0.47200000000000025,1.7840000000000014,10.51642580709556,827.3345098367458,201.43423705042738,202.56073129728338,7.879580628824614,690.1250322566036
0.48800000000000027,1.7840000000000014,10.449419702150687,814.3858022907084,202.81943245738927,203.94085854818394,7.945058257076138,693.4218580230547
0.5040000000000002,1.7840000000000014,10.38323235881224,802.6464040173846,204.34910634268283,205.45930091809203,8.012169639979913,696.8582689251443
0.5200000000000002,1.7840000000000014,10.315508734522112,790.7807739027362,205.77173372829907,206.87291328551726,8.080908382446893,700.4939479400541
0.5360000000000003,1.7840000000000014,10.24625210285609,779.5779001003875,207.22471239783647,208.31640993231997,8.151263971559768,704.2189352645919
0.5520000000000003,1.7840000000000014,10.175469092348532,768.3269070582801,208.7076495604398,209.78940757476772,8.220394132723108,708.0327550720888
0.5680000000000003,1.7840000000000014,10.103169879939813,757.0432760302583,210.25530106604316,211.32469046055405,8.289313025553646,711.9347247620173
0.5840000000000003,1.7840000000000014,10.02572182484375,745.4082454991026,211.8881901743352,212.94546560949937,8.3595919201158,715.8315926306364
0.6000000000000003,1.7840000000000014,9.945291554940463,732.0886239705665,213.55257980600004,214.5972751460978,8.433476463725066,719.6459270328071
0.6160000000000003,1.7840000000000014,9.863166868978935,717.7616020600076,215.24759373580116,216.2792687969553,8.512636005046812,723.5342785366838
0.6320000000000003,1.7840000000000014,9.784421473438963,703.4316585662918,216.95811261251401,217.98199895283807,8.590294682113548,727.5551415576793
0.6480000000000004,1.7840000000000014,9.705834597239216,689.6063431682633,218.58369618065706,219.59555650287427,8.66476327885221,731.9383460745454
0.6640000000000004,1.7840000000000014,9.620852585983156,676.7205183003339,220.2328702717685,221.2323940656459,8.748164591005533,736.2960978528085
0.6800000000000004,1.7840000000000014,9.533608016650557,664.9252460087091,221.95982064404723,222.93610177294192,8.825742941269763,740.4092518781504
0.6960000000000004,1.7840000000000014,9.451256517456617,651.9814499278145,223.82242514244285,224.78349371778194,8.913525493622819,744.957468532942
0.7120000000000004,1.7840000000000014,9.361440414579212,640.7841977785761,225.5763255908842,226.53717485487613,9.003935455843703,749.2972834911515
0.7280000000000004,1.7840000000000014,9.27914873137183,628.9862978390365,227.35372155718449,228.28265489732019,9.09563783664868,754.0899403086128
0.7440000000000004,1.7840000000000014,9.195865666355738,616.7081701044026,229.20027336559542,230.13568024909245,9.188553146930008,759.0899073475018
0.7600000000000005,1.7840000000000014,9.11164622223636,605.5406907147262,231.10585162077723,231.99981766537508,9.282597051242975,764.160025592898
0.7760000000000005,1.7840000000000014,9.026548726772905,594.0438068166927,233.14904187593027,234.02594012689008,9.377680674417096,769.2958379426597
0.7920000000000005,1.7840000000000014,8.94063466963367,583.6925145464534,235.20840236334516,236.068211180116,9.464524518723374,774.4925764362125
0.8080000000000005,1.7840000000000014,8.853968508758982,573.0562253137464,237.28141360303812,238.12415705366476,9.547698561585252,779.7451771034167
0.8240000000000005,1.7840000000000014,8.761962212681274,563.8729938741903,239.36545805510718,240.19120378925555,9.631409953396897,784.4843308244849
0.8400000000000005,1.7840000000000014,8.658963665759567,554.0534938982055,241.3591029743729,242.20255519614,9.715593315137063,789.0576521438022
0.8560000000000005,1.7840000000000014,8.555157129168064,543.5406374557165,243.122456244467,243.95270026193657,9.800182076327534,793.6583818862673
